filename,prediction,classification,latitude,longitude
DJI_20240830150420_0101_D_copy_2.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_3.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_4.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_5.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_6.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_7.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_8.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_9.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_10.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_11.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_12.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_13.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_14.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_15.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
DJI_20240830150420_0101_D_copy_16.JPG,100.00%,THIS PICTURE HAS Oak Wilt,43.125151583333334,-86.25992527777778
